date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:09	3010048/3010048	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22d0c04b2a13d9d31:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20CNTT.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20CNTT.xls	(from http://daotao.hutech.edu.vn/)
09:17:08	3200512/3200512	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%220fcee37caead51:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20CDDT.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20CDDT.xls	(from http://daotao.hutech.edu.vn/)
09:19:23	1589760/1589760	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22408aa36212d9d31:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20NB.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20NB.xls	(from http://daotao.hutech.edu.vn/)
09:19:36	78848/78848	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22bbde4cb6257ad71:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20QTKD.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20QTKD.xls	(from http://daotao.hutech.edu.vn/)
09:20:29	1603072/1603072	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%2204612e5c3ead51:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20NN.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20NN.xls	(from http://daotao.hutech.edu.vn/)
09:21:36	1648640/1648640	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22d0fe1aeb12d9d31:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/Khoa-QTDLNHKS.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/Khoa-QTDLNHKS.xls	(from http://daotao.hutech.edu.vn/)
09:21:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Oct%202021%2016:27:01%20GMT	http://daotao.hutech.edu.vn/Upload/file/Danh%20muc%20HP%20tuong%20duong%20-%20CNTP.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/Danh%20muc%20HP%20tuong%20duong%20-%20CNTP.4d.delayed	(from http://daotao.hutech.edu.vn/)
09:22:37	1113600/1113600	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%226042f3c112d9d31:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20XD.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20XD.xls	(from http://daotao.hutech.edu.vn/)
09:24:39	1540096/1540096	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%227092cc3213d9d31:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20KHXH-NV.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20KHXH-NV.xls	(from http://daotao.hutech.edu.vn/)
09:26:16	1726464/1726464	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%220301d76e624d51:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20TT.Anh%20Ngu.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20TT.Anh%20Ngu.xls	(from http://daotao.hutech.edu.vn/)
